,target,type,5_mean,5_std,10_mean,10_std,15_mean,15_std,20_mean,20_std,30_mean,30_std,40_mean,40_std,50_mean,50_std,100_mean,100_std
Torque6_Proposed method,Torque6,Proposed method,1.8225362557721294,0.22903597156619843,1.644680353183378,0.19093085030773566,1.5825983446377851,0.2244110535613024,1.4084091717452043,0.24820302425612484,1.2361349465766898,0.2123318205365277,1.1271805739874583,0.3070926958571031,0.9959801519253562,0.0962927631450493,nan,nan
Torque6_Proposed method 2,Torque6,Proposed method 2,1.8584324869408715,0.2243765116985628,1.7100198780801505,0.19654724107541544,1.611185604888344,0.3191659794258558,1.478591965575379,0.28300679741097123,1.425121706260484,0.4074940533772492,1.2519661663144837,0.36122212334850773,1.0679375703682368,0.10753040777612326,nan,nan
Torque6_Proposed method 3,Torque6,Proposed method 3,1.8607717696355164,0.20224151746158683,1.6965149248413252,0.17866179499418075,1.5545916213988258,0.27471410259014756,1.4533248319992311,0.2757678468399107,1.2300977786230665,0.2093492053091628,1.09315541950224,0.14079872627144704,1.0195562151688677,0.09229047211766984,nan,nan
Torque7_No transfer,Torque7,No transfer,2.668190361911366,0.32149932090327865,2.124294467793815,0.42032106121671975,1.8437442140748772,0.42065988228820284,1.5308245837818724,0.3051456988478465,1.341052392922432,0.20302959893075528,1.1665930475248774,0.12615725357262456,1.0458925116784192,0.09602851673235976,nan,nan
Torque7_Only source,Torque7,Only source,2.289191920015478,0.5832212078158203,1.7639173065653153,0.4409127600850901,1.5486694843037072,0.40715102284173615,1.415531204058318,0.5853314335195631,1.162408865057886,0.24316538042217503,0.9985371313531101,0.23082121705954328,0.9422085411217787,0.16356055489519433,nan,nan
Torque7_Argumented,Torque7,Argumented,2.5512620757383737,0.4080438297063932,1.9003965495025377,0.4333467691585943,1.677787665340706,0.41712030875729805,1.3902444385427835,0.3664958516256355,1.197143157826586,0.23624150082240636,1.0110196733366104,0.14157075936265037,0.9011683410838991,0.11171828411078188,nan,nan
Torque7_HTL-offset,Torque7,HTL-offset,2.294562855182089,0.5882192044707238,1.7133096945808735,0.4051820729066607,1.5456950468975545,0.4083717435848029,1.4149575078647634,0.5855498662234868,1.1535595070890967,0.2493529207812485,0.9952221116152355,0.2329529072937134,0.9347575181751242,0.16719826846432886,nan,nan
Torque7_HTL-scale,Torque7,HTL-scale,2.324289888663824,0.5803795880019177,1.750760600742188,0.42772532314103834,1.592631170714902,0.3948185743347326,1.4218387339737082,0.5688454902636545,1.2065777746335165,0.24868672217397553,1.0619744259651913,0.24876309148665335,0.9671248998420945,0.16069138270487124,nan,nan
Torque7_Proposed method,Torque7,Proposed method,2.2874170160149596,0.5326758980986137,1.7477867885174017,0.44735136688722643,1.4908675887993164,0.3796241972507899,1.2974731683801326,0.3272066430737876,1.0684211578830833,0.2501234837194453,0.9745616237474556,0.18021950102204187,0.8892434691182425,0.1453213566663138,nan,nan
Torque7_Proposed method 2,Torque7,Proposed method 2,2.78999505156889,0.5348263473818171,2.1244567586486798,0.3650316610934517,1.9306821252101618,0.3861760248929188,1.7093491505129386,0.30282447747622726,1.6679436121268885,0.5365016439998284,1.4185667741479544,0.4260120380654992,1.0765687029608073,0.1391383892703473,nan,nan
Torque7_Proposed method 3,Torque7,Proposed method 3,2.324736820527054,0.5517714769808985,1.7071801370142758,0.4187649149186387,1.4915605747209943,0.37284248239670026,1.2615963341825536,0.2566870415605521,1.0649043617530582,0.21979326942378238,0.9498235333283287,0.1630322473410456,0.8852659763139581,0.1560097430031856,nan,nan
