,data_name,n_sample,n_itr,type,MSE,Corr,MAE,R2
Torque2_n5_itr1_RATE,Torque2,5,1,Learning the rates,242.3497812228516,0.32458844563916284,11.62256389334597,-0.09166076142051427
Torque2_n5_itr1_AffineTrans,Torque2,5,1,Proposed method,214.1400668350839,0.38004238838624943,11.005191347123548,0.035409451445442275
Torque2_n5_itr1_AffineTrans2,Torque2,5,1,Proposed method 2,249.79703385229985,0.26988442798138107,12.438467880087789,-0.12520679325488415
Torque2_n5_itr1_AffineTrans3,Torque2,5,1,Proposed method 3,254.9667190432792,0.26232245308566987,12.57407116385746,-0.14849355853856894
Torque2_n5_itr2_WOTL,Torque2,5,2,Without transfer,198.5073928763876,0.388416498484916,10.652704030575281,0.10582658436249837
Torque2_n5_itr2_ONLY,Torque2,5,2,Using only source features,180.5548080556544,0.492043978996408,9.507671638212235,0.18669371911285582
Torque2_n5_itr2_WITH,Torque2,5,2,With source features,185.4007456000241,0.4657110007938794,10.176411628538826,0.1648652699894858
Torque2_n5_itr2_RES,Torque2,5,2,Leraning the residuals,180.55286097042836,0.49204236187967,9.507675114799692,0.1867024897275008
Torque2_n5_itr2_RATE,Torque2,5,2,Learning the rates,180.56216025860437,0.49204390493884703,9.507830877745235,0.1866606012308013
Torque2_n5_itr2_AffineTrans,Torque2,5,2,Proposed method,198.8304809610846,0.4346605783184469,9.917928848387357,0.10437123918840119
Torque2_n5_itr2_AffineTrans2,Torque2,5,2,Proposed method 2,241.37276159936943,0.3636159491568836,11.086023471883504,-0.08725979195930167
Torque2_n5_itr2_AffineTrans3,Torque2,5,2,Proposed method 3,180.5583202639707,0.49209609201513893,9.50764508622099,0.18667789842597304
Torque2_n5_itr3_WOTL,Torque2,5,3,Without transfer,207.41497883044065,0.35280558123641126,10.60636132752494,0.06570250413451384
Torque2_n5_itr3_ONLY,Torque2,5,3,Using only source features,226.34325101472075,0.4559715558031284,11.46439458258904,-0.01955959893322179
